Food,Ayurvedic_Taste
Chicken yakhni,Sweet (Madhura)
Tomato chicken,Sweet (Madhura)
Handi chicken,Sweet (Madhura)
Chickpea flour cookies (Sweet besan rounds/cookies),Astringent (Kashaya)
Hariyali Fish Tikka,Sweet (Madhura)
Tandoori chicken,Sweet (Madhura)
Tomato fish,Sweet (Madhura)
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",Sweet (Madhura)
Chickpeas curry (Safed channa curry),Astringent (Kashaya)
Chicken pakora/pakoda,Sweet (Madhura)
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",Sweet (Madhura)
Vanilla ice cream with egg,Sweet (Madhura)
Vanilla ice cream without egg,Sweet (Madhura)
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),Sweet (Madhura)
Vegeterian scotch egg,Sweet (Madhura)
Minced meat pancake (with chicken),Sweet (Madhura)
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",Sweet (Madhura)
Spaghetti with paneer balls and tomato sauce,Salty (Lavana)
Boiled egg (Ubla anda),Sweet (Madhura)
Fried fish and Chips (English Style) (Tali hui machli aur chips),Salty (Lavana)
Lemon chicken,Sour (Amla)
Fish pie,Sweet (Madhura)
Orange eggless cake,Sweet (Madhura)
Chicken consomme (Clear chicken soup),Sweet (Madhura)
"Restaurant, Chinese, sweet and sour pork",Sweet (Madhura)
Baked fish with cheese sauce,Salty (Lavana)
"Eggs, Grade A, Large, egg white",Sweet (Madhura)
Chicken salad,Sweet (Madhura)
Fried fish (Indian style) (Tali hui machli),Sweet (Madhura)
Ginger chicken,Pungent (Katu)
Fish sandwich,Sweet (Madhura)
Egg in a pepper,Pungent (Katu)
